0
t=2; reachID=Malone; FromN=45; Q=2.78
t=2; reachID=Orco; FromN=46; Q=15.42
t=2; reachID=Dora Baltea; FromN=47; Q=59.04
t=2; reachID=Sesia; FromN=48; Q=32.37
t=2; reachID=Tanaro; FromN=49; Q=92.94
t=2; reachID=Scrivia; FromN=50; Q=9.5
t=2; reachID=Ticino; FromN=51; Q=111.74
t=2; reachID=Lambro; FromN=52; Q=11.45
t=2; reachID=Tidone; FromN=53; Q=0.98
t=2; reachID=Trebbia; FromN=54; Q=11.85
t=2; reachID=Nure; FromN=55; Q=4.9
t=2; reachID=Adda; FromN=56; Q=64.06
t=2; reachID=Arda; FromN=57; Q=2.82
t=2; reachID=Taro; FromN=58; Q=2.83
t=2; reachID=Parma; FromN=59; Q=6.15
t=2; reachID=Enza; FromN=60; Q=6.81
t=2; reachID=Oglio; FromN=61; Q=55.15
t=2; reachID=Mincio; FromN=62; Q=22.69
t=2; reachID=Secchia; FromN=63; Q=20.09
t=2; reachID=Panaro; FromN=64; Q=23.3
t=2; reachID=Po; FromN=2; Q=97.21
t=2; reachID=Po; FromN=3; Q=97.55
t=2; reachID=Po; FromN=4; Q=98.76
t=2; reachID=Po; FromN=5; Q=118.26
t=2; reachID=Po; FromN=6; Q=118.26
t=2; reachID=Po; FromN=7; Q=120.96
t=2; reachID=Po; FromN=8; Q=181.21
t=2; reachID=Po; FromN=9; Q=182.25
t=2; reachID=Po; FromN=10; Q=184.36
t=2; reachID=Po; FromN=11; Q=187.35
t=2; reachID=Po; FromN=12; Q=187.57
t=2; reachID=Po; FromN=13; Q=221.21
t=2; reachID=Po; FromN=14; Q=224.67
t=2; reachID=Po; FromN=15; Q=318.52
t=2; reachID=Po; FromN=16; Q=320.58
t=2; reachID=Po; FromN=17; Q=334.44
t=2; reachID=Po; FromN=18; Q=343.76
t=2; reachID=Po; FromN=19; Q=459.23
t=2; reachID=Po; FromN=20; Q=467.76
t=2; reachID=Po; FromN=21; Q=469.39
t=2; reachID=Po; FromN=22; Q=470.88
t=2; reachID=Po; FromN=23; Q=483.98
t=2; reachID=Po; FromN=24; Q=497.98
t=2; reachID=Po; FromN=25; Q=506.03
t=2; reachID=Po; FromN=26; Q=506.79
t=2; reachID=Po; FromN=27; Q=571.94
t=2; reachID=Po; FromN=28; Q=574.07
t=2; reachID=Po; FromN=29; Q=577.96
t=2; reachID=Po; FromN=30; Q=579.44
t=2; reachID=Po; FromN=31; Q=584.96
t=2; reachID=Po; FromN=32; Q=604.17
t=2; reachID=Po; FromN=33; Q=610.42
t=2; reachID=Po; FromN=34; Q=618.45
t=2; reachID=Po; FromN=35; Q=621.77
t=2; reachID=Po; FromN=36; Q=679.05
t=2; reachID=Po; FromN=37; Q=685.38
t=2; reachID=Po; FromN=38; Q=710.41
t=2; reachID=Po; FromN=39; Q=732.07
t=2; reachID=Po; FromN=40; Q=734.38
t=2; reachID=Po; FromN=41; Q=737.1
t=2; reachID=Po; FromN=42; Q=763.04
t=2; reachID=Po; FromN=43; Q=767.4
t=2; reachID=Po; FromN=44; Q=772.32
t=3; reachID=Stura di Lanzo; FromN=1; Q=15.79
t=3; reachID=Malone; FromN=45; Q=2.95
t=3; reachID=Orco; FromN=46; Q=15.19
t=3; reachID=Dora Baltea; FromN=47; Q=58.71
t=3; reachID=Sesia; FromN=48; Q=32.38
t=3; reachID=Tanaro; FromN=49; Q=89.67
t=3; reachID=Scrivia; FromN=50; Q=9.1
t=3; reachID=Ticino; FromN=51; Q=111.38
t=3; reachID=Lambro; FromN=52; Q=10.68
t=3; reachID=Tidone; FromN=53; Q=1.11
