Y,Z,1,Active_channel_mask
0.0,186.83,36,0
3.32,176.0,36,0
3.9,175.73,36,0
20.4,134.94,36,1
24.57,135.04,36,1
28.0,134.41,36,1
31.06,132.83,36,1
38.73,133.04,36,1
46.0,133.0,36,1
47.68,132.86,36,1
49.07,132.47,36,1
50.07,132.32,36,1
51.07,132.15,36,1
52.07,132.07,36,1
53.07,132.13,36,1
54.07,132.1,36,1
55.07,132.1,36,1
56.07,132.04,36,1
57.07,132.0,36,1
58.07,131.95,36,1
59.07,131.93,36,1
60.07,132.04,36,1
61.07,132.11,36,1
62.07,132.1,36,1
63.07,132.11,36,1
64.07,132.19,36,1
65.07,132.17,36,1
66.07,132.05,36,1
67.07,131.85,36,1
68.07,131.85,36,1
69.07,131.88,36,1
70.07,131.98,36,1
71.07,132.31,36,1
71.34,132.46,36,1
73.63,132.79,36,1
96.34,133.03,36,1
121.99,132.95,36,1
127.47,132.92,36,1
128.47,132.76,36,1
129.47,132.73,36,1
130.47,132.73,36,1
131.47,132.71,36,1
132.47,132.71,36,1
133.47,132.66,36,1
134.47,132.68,36,1
135.47,132.66,36,1
136.47,132.65,36,1
137.47,132.59,36,1
138.47,132.47,36,1
139.47,132.36,36,1
140.47,132.26,36,1
141.47,132.15,36,1
142.47,132.01,36,1
143.47,132.0,36,1
144.47,131.83,36,1
145.47,131.73,36,1
146.47,131.62,36,1
147.47,131.59,36,1
148.47,131.53,36,1
149.47,131.62,36,1
150.47,131.55,36,1
151.47,131.5,36,1
152.47,131.43,36,1
153.47,131.57,36,1
154.47,131.6,36,1
155.47,131.53,36,1
156.47,131.41,36,1
157.47,131.38,36,1
158.47,131.53,36,1
159.47,131.46,36,1
160.47,131.4,36,1
161.47,131.59,36,1
162.47,131.62,36,1
163.47,131.41,36,1
164.47,131.66,36,1
165.47,131.4,36,1
166.47,131.46,36,1
167.47,131.37,36,1
168.47,131.47,36,1
169.47,131.64,36,1
170.47,131.53,36,1
171.47,131.44,36,1
172.47,131.6,36,1
173.47,131.53,36,1
174.47,131.46,36,1
175.47,131.34,36,1
176.47,131.48,36,1
177.47,131.57,36,1
178.47,131.4,36,1
179.47,131.37,36,1
180.47,131.32,36,1
181.47,131.59,36,1
182.47,131.56,36,1
183.47,131.45,36,1
184.47,131.32,36,1
185.47,131.54,36,1
186.47,131.44,36,1
187.47,131.33,36,1
188.47,131.47,36,1
189.47,131.53,36,1
190.47,131.62,36,1
191.47,131.53,36,1
192.47,131.5,36,1
193.47,131.38,36,1
194.47,131.49,36,1
195.47,131.62,36,1
196.47,131.84,36,1
197.47,132.46,36,1
198.47,132.54,36,1
199.47,132.62,36,1
200.47,132.78,36,1
201.47,132.85,36,1
202.47,132.93,36,1
212.47,133.58,36,1
229.0,133.6,36,1
260.12,133.91,36,1
290.66,133.62,36,1
292.98,132.97,36,1
293.98,132.81,36,1
294.98,132.79,36,1
295.98,132.76,36,1
296.98,132.68,36,1
297.98,132.57,36,1
298.98,132.46,36,1
299.98,132.37,36,1
300.98,132.24,36,1
301.98,132.24,36,1
302.98,132.16,36,1
303.98,132.09,36,1
304.98,131.95,36,1
305.98,131.9,36,1
306.98,131.75,36,1
307.98,131.85,36,1
308.98,131.78,36,1
309.98,131.67,36,1
310.98,131.74,36,1
311.98,131.53,36,1
312.98,131.66,36,1
313.98,131.75,36,1
314.98,131.52,36,1
315.98,131.66,36,1
316.98,131.72,36,1
317.98,131.88,36,1
318.98,131.72,36,1
319.98,131.7,36,1
320.98,131.83,36,1
321.98,131.74,36,1
322.98,131.69,36,1
323.98,131.82,36,1
324.98,131.69,36,1
325.98,131.71,36,1
326.98,131.67,36,1
327.98,131.8,36,1
328.98,131.67,36,1
329.98,131.8,36,1
330.98,132.21,36,1
331.98,132.66,36,1
332.41,132.93,36,1
332.97,133.84,36,1
340.35,134.62,36,0
344.0,133.15,36,0
347.68,135.12,36,0
357.19,134.53,36,0
371.06,134.71,36,0
375.66,134.83,36,0
378.5,134.99,36,0
394.61,136.25,36,0
407.22,137.27,36,0
422.58,138.47,36,0
432.95,148.63,36,0
445.69,156.24,36,0
452.87,161.27,36,0
460.2,164.6,36,0
467.97,178.96,36,0
