Y,Z,1,Active_channel_mask
0.0,52.34,36,0
4.55,44.59,36,0
6.66,45.01,36,0
7.41,44.7,36,0
9.23,44.15,36,0
13.27,42.22,36,0
36.88,42.1,36,0
61.07,42.2,36,0
85.53,42.21,36,0
110.12,41.99,36,0
135.25,41.98,36,0
160.27,41.97,36,0
185.07,41.96,36,0
209.84,42.08,36,0
225.0,42.16,36,0
249.38,42.08,36,0
253.23,39.19,36,1
256.54,39.29,36,1
279.83,38.89,36,1
284.02,39.11,36,1
293.92,39.28,36,1
316.17,39.26,36,1
320.65,39.61,36,1
336.65,39.6,36,1
339.46,39.18,36,1
348.32,39.56,36,1
372.39,39.87,36,1
400.95,39.82,36,1
423.67,39.85,36,1
424.89,39.5,36,1
439.87,39.68,36,1
463.09,39.82,36,1
487.11,39.96,36,1
504.48,40.05,36,1
516.34,39.93,36,1
520.23,38.98,36,1
545.14,38.43,36,1
555.95,38.21,36,1
574.89,38.54,36,1
578.49,38.3,36,1
584.41,37.37,36,1
590.78,39.36,36,1
609.64,39.59,36,1
626.23,40.17,36,1
649.92,40.28,36,1
673.37,40.27,36,1
694.36,40.33,36,1
718.31,40.11,36,1
752.83,39.72,36,1
775.3,39.89,36,1
798.64,40.06,36,1
821.47,40.09,36,1
840.85,40.13,36,1
844.0,38.8,36,1
853.14,38.31,36,1
865.78,38.92,36,1
872.67,38.55,36,1
875.88,38.99,36,1
889.46,39.12,36,1
892.53,39.54,36,1
919.34,39.78,36,1
935.75,39.99,36,1
946.61,39.93,36,1
965.67,39.92,36,1
980.48,39.12,36,1
990.0,39.71,36,1
991.42,40.86,36,1
1012.87,40.94,36,1
1019.11,40.73,36,1
1025.33,41.04,36,1
1063.8,41.36,36,1
1091.93,41.4,36,1
1098.1,40.8,36,1
1103.52,41.28,36,1
1116.06,41.17,36,1
1124.67,40.91,36,1
1131.05,40.11,36,1
1138.45,40.29,36,1
1151.5,40.21,36,0
1159.26,39.95,36,0
1161.39,40.89,36,0
1168.79,40.84,36,0
1174.01,40.4,36,0
1185.9,40.55,36,0
1186.78,41.02,36,0
1208.38,40.96,36,0
1209.15,41.07,36,0
1209.67,40.62,36,0
1213.86,41.09,36,0
1217.11,40.58,36,0
1217.51,41.4,36,0
1218.11,41.34,36,0
1221.27,40.35,36,0
1221.57,40.0,36,0
1222.07,40.24,36,0
1227.23,40.93,36,0
1247.78,40.04,36,0
1251.98,42.32,36,0
1276.8,42.48,36,0
1309.52,42.47,36,0
1333.49,42.39,36,0
1333.92,42.29,36,0
1334.4,42.41,36,0
1336.37,42.91,36,0
1340.16,42.67,36,0
1354.0,42.78,36,0
1354.6,43.06,36,0
1355.99,43.06,36,0
1357.58,42.44,36,0
1371.64,42.51,36,0
1372.38,42.7,36,0
1372.75,42.79,36,0
1373.36,42.55,36,0
1378.82,42.51,36,0
1419.23,42.11,36,0
1448.02,41.9,36,0
1481.12,41.76,36,0
1508.78,41.59,36,0
1509.69,41.75,36,0
1512.29,41.75,36,0
1514.15,41.44,36,0
1547.68,41.62,36,0
1583.6,41.71,36,0
1616.5,41.74,36,0
1650.92,41.72,36,0
1683.54,41.74,36,0
1705.98,41.63,36,0
1734.95,41.49,36,0
1765.18,41.55,36,0
1767.21,41.53,36,0
1769.67,41.64,36,0
1774.05,43.6,36,0
1775.24,43.49,36,0
1776.16,43.61,36,0
1780.32,41.42,36,0
1783.84,51.25,36,0
