Y,Z,1,Active_channel_mask
0.0,59.33,36,0
0.49,49.52,36,0
4.01,49.45,36,0
10.91,46.7,36,0
11.47,46.93,36,0
21.75,46.98,36,0
26.78,44.01,36,0
52.78,43.71,36,0
78.41,43.78,36,0
90.47,44.71,36,0
95.58,42.7,36,0
98.96,44.64,36,0
100.63,44.81,36,0
101.83,46.26,36,0
125.48,46.53,36,0
129.4,46.52,36,0
133.95,46.76,36,0
136.38,47.5,36,0
142.04,46.62,36,0
155.05,46.85,36,0
157.93,46.12,36,0
195.68,46.12,36,0
199.79,48.92,36,0
204.72,45.3,36,0
215.69,46.09,36,0
219.58,46.55,36,0
227.23,46.4,36,0
239.86,47.11,36,0
258.73,47.37,36,0
268.59,47.37,36,0
270.04,48.35,36,0
275.62,46.26,36,0
277.87,45.91,36,0
304.34,45.82,36,0
308.72,44.95,36,0
312.01,44.05,36,0
315.49,44.5,36,0
334.37,44.93,36,0
345.65,45.33,36,0
349.43,45.19,36,0
350.64,44.91,36,0
353.94,44.91,36,0
355.4,45.47,36,0
365.55,45.25,36,0
366.68,44.85,36,0
372.59,45.09,36,0
396.75,44.55,36,0
422.09,44.42,36,1
445.62,44.6,36,1
470.0,44.77,36,1
487.67,44.68,36,1
506.25,44.12,36,1
509.11,44.45,36,1
510.75,44.28,36,1
512.06,44.04,36,1
524.91,43.9,36,1
531.81,44.72,36,1
557.49,44.45,36,1
582.18,44.42,36,1
601.55,44.26,36,1
612.77,44.4,36,1
621.46,44.55,36,1
646.04,44.81,36,1
671.55,44.75,36,1
674.93,43.39,36,1
680.53,42.64,36,1
687.48,44.17,36,1
693.62,44.44,36,1
704.88,44.87,36,1
718.65,44.27,36,1
722.66,44.25,36,1
724.63,44.7,36,1
741.48,44.71,36,1
763.92,44.65,36,1
770.23,44.18,36,1
783.7,44.11,36,1
792.17,44.91,36,1
793.17,45.44,36,1
813.99,44.97,36,1
826.49,44.36,36,1
829.07,44.22,36,1
832.47,44.22,36,1
835.54,44.38,36,1
839.68,45.88,36,1
851.57,46.27,36,1
875.09,46.55,36,0
916.6,46.27,36,0
920.03,44.4,36,0
922.46,44.35,36,0
924.88,45.81,36,0
968.57,45.68,36,0
970.75,46.51,36,0
978.04,49.34,36,0
979.47,49.11,36,0
980.51,49.47,36,0
984.59,47.63,36,0
987.41,57.49,36,0
