Y,Z,1,Active_channel_mask
0.0,64.22,36,0
23.1,54.41,36,0
25.85,55.58,36,0
26.95,55.62,36,0
31.34,55.67,36,0
36.87,58.04,36,0
38.4,58.02,36,0
39.92,58.16,36,0
45.45,55.72,36,0
51.23,54.83,36,0
55.36,54.81,36,0
69.7,55.8,36,0
73.11,55.77,36,0
79.3,55.55,36,0
93.76,54.61,36,0
95.06,52.85,36,0
104.89,52.94,36,0
111.17,54.26,36,0
151.33,55.01,36,0
204.15,54.81,36,0
230.83,55.06,36,0
237.12,56.52,36,0
278.76,56.68,36,0
317.08,55.11,36,0
318.33,54.65,36,0
341.69,54.19,36,0
353.4,54.52,36,0
419.71,54.81,36,0
420.46,53.79,36,0
428.18,53.98,36,0
436.19,54.15,36,0
438.21,54.5,36,0
449.26,54.67,36,0
456.19,54.46,36,0
468.67,54.42,36,0
471.0,53.09,36,0
481.1,53.18,36,1
482.24,53.67,36,1
500.27,53.91,36,1
502.98,53.5,36,1
511.19,53.54,36,1
515.58,53.77,36,1
517.49,54.18,36,1
528.48,54.32,36,1
539.27,53.62,36,1
548.04,53.6,36,1
551.34,53.91,36,1
568.26,54.25,36,1
569.93,53.44,36,1
572.08,53.14,36,1
581.13,53.5,36,1
589.1,53.93,36,1
606.94,53.67,36,1
623.12,53.82,36,1
626.41,52.66,36,1
652.76,53.43,36,1
671.12,53.62,36,1
679.34,53.96,36,1
706.27,53.82,36,1
711.18,53.65,36,1
718.1,53.94,36,1
740.65,53.53,36,1
746.67,53.62,36,1
748.25,53.39,36,1
763.63,53.75,36,1
772.83,53.51,36,1
785.66,53.58,36,1
805.23,53.45,36,1
823.86,52.86,36,1
825.75,53.44,36,1
843.33,53.45,36,1
853.88,53.98,36,1
882.78,53.92,36,1
896.95,54.23,36,1
920.64,54.02,36,1
927.02,54.03,36,1
929.74,53.84,36,1
935.37,54.11,36,1
942.76,54.1,36,1
950.53,53.63,36,1
963.57,54.03,36,1
975.77,54.0,36,1
994.79,53.78,36,1
996.97,53.37,36,1
1027.56,53.25,36,1
1048.77,53.42,36,1
1074.54,53.59,36,1
1119.21,54.3,36,1
1121.88,53.39,36,1
1125.27,53.72,36,1
1132.66,53.8,36,1
1136.34,53.38,36,1
1149.78,53.23,36,1
1160.62,52.77,36,1
1165.54,52.36,36,1
1170.69,55.35,36,1
1179.41,55.95,36,1
1184.74,54.08,36,1
1190.64,54.06,36,1
1224.79,54.06,36,1
1230.36,54.91,36,1
1233.08,54.58,36,1
1243.59,53.93,36,1
1267.61,54.25,36,1
1275.2,54.51,36,1
1283.62,54.37,36,1
1304.02,54.77,36,1
1319.72,54.87,36,1
1320.57,54.33,36,1
1323.48,54.46,36,1
1326.17,54.46,36,1
1334.64,54.58,36,1
1335.53,54.94,36,1
1352.48,54.82,36,1
1367.33,54.79,36,1
1371.75,54.36,36,1
1401.83,54.18,36,1
1403.3,54.4,36,1
1413.25,54.98,36,1
1414.0,54.68,36,1
1427.87,54.63,36,1
1428.53,55.14,36,1
1464.77,54.73,36,0
1470.47,55.52,36,0
1491.37,56.27,36,0
1516.91,56.23,36,0
1518.29,55.49,36,0
1528.25,55.84,36,0
1538.66,55.01,36,0
1542.4,53.95,36,0
1550.07,53.91,36,0
1552.24,54.46,36,0
1568.19,54.85,36,0
1593.39,55.08,36,0
1603.18,55.49,36,0
1617.46,55.49,36,0
1619.53,56.46,36,0
1622.81,56.41,36,0
1624.63,55.76,36,0
1628.07,55.77,36,0
1640.69,55.02,36,0
1649.36,55.5,36,0
1651.09,55.98,36,0
1652.95,55.85,36,0
1660.22,55.84,36,0
1687.22,56.43,36,0
1695.76,56.43,36,0
1700.13,56.22,36,0
1733.11,56.1,36,0
1768.3,56.37,36,0
1800.46,56.22,36,0
1834.64,56.23,36,0
1867.24,56.3,36,0
1898.33,56.51,36,0
1900.74,56.49,36,0
1901.61,56.68,36,0
1904.65,57.96,36,0
1905.86,57.85,36,0
1907.22,58.11,36,0
1911.69,56.37,36,0
1914.97,66.27,36,0
