yyyy/mm/dd,SESIA_1,TANARO_1,TICINO_1,SCRIVIA_1,TIDONE_1,LAMBRO_1,NURE_1,ENZA_1,OGLIO_1,SECCHIA_1,DORA BALTEA_1,MALONE_1,MINICIO_1,TREBBIA_1,PARMA_1,PANARO_1,TARO_1,STURA DI LANZO_1,PO_1,PO_2,PO_3a,PO_3b,PO_4,PO_5,PO_6,PO_7,PO_8,PO_9,PO_10,PO_11,PO_12,PO_13,PO_14a,PO_14b,PO_15,PO_16,PO_17,PO_18a,PO_18b,PO_18c,PO_19a,PO_21,PO_22,PO_23,PO_24,PO_25,PO_26b,PO_27,PO_28,PO_29,PO_30a,PO_30b,PO_31,PO_32,PO_33,PO_34,PO_35,ORCO_1,ARDA_1,ADDA_1,PO_26a,PO_20b,PO_20a,PO_19b
01/01/2019,34.51,97.07,116.2,11.88,1.13,13.22,5.76,7.83,59.72,24.23,58.55,3.18,24.57,14.14,7.23,25.56,3.76,15.87,100.65,100.81,101.86,120.91,120.91,123.15,182.35,182.85,184.48,185.76,185.6,220.91,222.43,319.77,320.7,337.31,344.29,460.36,465.15,464.3,465.23,478.58,493.22,572.14,576.21,577.72,584.98,607.28,626.37,630.86,693.45,699.33,725.22,750.32,751.46,751.73,775.45,775.41,775.01,14.78,3.45,67.78,614.88,570.33,501.76,501.14
01/02/2019,34.87,95.5,114.79,11.28,1.09,12.99,5.5,7.54,58.01,22.19,59.02,3.01,23.99,13.45,6.77,24.83,3.61,15.76,100.59,100.86,101.94,121.34,121.34,123.74,183.57,184.28,186.08,188.27,188.28,224.15,226.64,322.54,323.48,339.45,347.36,463.8,471.12,471.71,472.99,486.71,500.53,571.55,574.59,575.56,582.81,604.49,624.19,628.3,687.98,691.78,716.93,740.29,742.4,745.72,774.36,778.86,781.51,15.18,3.37,66.54,612.3,571.51,505.99,506.26
01/03/2019,32.37,92.94,111.74,9.5,0.98,11.45,4.9,6.81,55.15,20.09,59.04,2.78,22.69,11.85,6.15,23.3,2.83,15.01,97.21,97.55,98.76,118.26,118.26,120.96,181.21,182.25,184.36,187.35,187.57,221.21,224.67,318.52,320.58,334.44,343.76,459.23,467.76,469.39,470.88,483.98,497.98,574.07,577.96,579.44,584.96,604.17,618.45,621.77,679.05,685.38,710.41,732.07,734.38,737.1,763.04,767.4,772.32,15.42,2.82,64.06,610.42,571.94,506.79,506.03
01/04/2019,32.38,89.67,111.38,9.1,1.11,10.68,4.92,6.46,53,18.31,58.71,2.95,22.38,10.73,5.92,21.21,3.12,15.79,98.56,98.7,99.66,118.84,118.84,120.87,180.1,180.63,182.26,184.52,184.75,218.56,221.3,311.75,313.71,327.2,335.67,450.77,458.73,460.45,462.23,475.23,489.1,566.32,571.11,573.86,581.31,600.16,617.75,621.72,676.29,679.22,702.09,721.05,722.44,725.43,751.19,756.75,762.05,15.19,3.12,62.13,607.16,563.62,499.75,498.54
01/05/2019,34.16,86.85,111.66,9.35,1.1,12.16,4.91,6.68,53.76,17.37,55.74,2.86,22.24,10.78,5.78,21.48,3.51,14.45,97.15,97.58,98.89,117.44,117.44,120.38,177.3,178.52,180.96,184.72,185.01,220.57,222.92,310.1,311.11,325.12,332.99,447.21,455.12,456.13,457.6,471.14,483.57,557.55,562.34,565.26,573.65,592.42,611.32,615.63,672.23,676.85,700.27,718.55,719.72,721.15,743.67,746.06,749.2,14.28,3.27,62.34,599.6,555.31,491.91,491.18
01/06/2019,34.05,87.22,111.61,9.2,1.22,12.89,5.03,6.73,55.06,18.07,51.8,3.04,21.94,10.29,5.86,21.88,3.87,14.42,93.44,93.66,94.78,112.54,112.54,115.32,168.39,169.75,172.72,178.51,179.27,215.71,220.53,308.91,310.95,325.42,334.3,447.88,454.2,454.47,455.83,469.8,481.64,554.16,558.24,560.24,568.36,585.57,602.85,607.48,665.53,671.32,694.6,713.59,714.71,716.77,740.84,744.22,746.79,13.55,3.36,62.31,591.78,552.51,489.75,489.21
01/07/2019,33.95,85.13,110.89,9.35,1.01,13.78,4.65,6.67,54.93,17.97,47.1,2.64,21.32,10.32,5.5,22.84,3.64,11.43,86.15,86.98,88.9,105.69,105.69,110.05,159.3,161.23,164.44,169.58,170.21,206.42,212.13,298.83,302.14,317.41,329.32,445.06,455.12,456.61,458.04,473.15,484.28,553.37,557.29,559.01,566.26,583.22,599.86,603.62,660.39,664.02,686.7,706.03,708.16,711.17,736.71,740.32,742.65,12.17,3.29,62.43,589.6,551.92,489.52,489.46
01/08/2019,30.53,81.42,109.21,8.07,1.04,11.76,4.35,5.84,52.93,17.23,41.98,2.46,20.4,8.86,5.2,21.34,3.3,10.93,79.06,79.66,81.05,96.18,96.18,99.68,143.33,144.82,147.52,155.06,156.77,191.1,199.13,282.67,286.24,299.57,311.08,427.05,439.31,442.94,445.23,460.64,474.88,552.6,556.77,558.01,564.24,580.02,595,598.8,654.14,659.64,681.61,699.92,701.29,703.11,726.68,731.61,736.75,11.1,3.1,60.32,585.76,549.97,487.38,485.7
01/09/2019,28.55,75.32,107.65,7.43,1.05,11.03,4.3,5.58,50.63,15.69,37.91,2.61,19.79,8.33,4.99,19.6,3.02,10.48,72.91,73.19,74.32,88.55,88.55,91.49,131.02,132.76,136.07,143.02,144.06,175.23,180.72,257.78,261.84,274.6,289.04,406.85,419.41,423.29,425.62,440.51,454.52,534.23,540.68,546,555.56,573.07,591.38,595,647.23,651.3,672.63,689.6,691.74,695.4,718.92,723.5,727.22,10.38,2.78,57.4,580.3,529.61,468.73,466.53
01/10/2019,29.27,71.79,107.76,7.55,1.07,11.47,4.29,5.58,50.04,15.1,34.91,2.53,19.83,8.15,4.9,18.98,3.32,9.87,70.92,71.27,72.49,85.96,85.96,88.77,124.87,126,128.31,132.18,132.8,164.31,169.91,243.49,246.99,259.87,271.21,384.55,395.44,399.2,401.7,417.9,433.22,513.85,520.52,525.72,535.62,552.73,575.49,580.77,637.57,645.96,667.76,683.93,685.09,686.78,708.09,712.44,717.51,9.67,3.04,57.09,560.32,509.04,448.32,446.04
