Y,Z,1,Active_channel_mask
0.0,32.3,36,0
12.28,22.6,36,0
13.9,22.52,36,0
17.1,21.21,36,0
49.18,18.55,36,0
52.53,18.79,36,0
77.41,19.27,36,0
103.13,19.81,36,0
133.16,19.26,36,0
135.56,18.94,36,0
139.49,19.01,36,0
166.4,19.23,36,0
191.7,19.29,36,0
215.84,19.4,36,0
241.14,19.32,36,0
258.89,19.3,36,0
306.17,19.86,36,0
328.12,19.86,36,0
354.53,19.92,36,0
379.87,19.86,36,0
405.08,19.89,36,0
431.29,19.99,36,0
465.65,20.24,36,0
502.85,19.65,36,0
534.63,19.31,36,0
565.88,18.79,36,1
590.16,18.53,36,1
618.92,18.31,36,1
648.06,18.01,36,1
648.34,16.14,36,1
650.1,15.7,36,1
651.57,15.24,36,1
653.06,14.49,36,1
655.6,14.13,36,1
659.8,13.99,36,1
666.19,13.98,36,1
669.76,14.2,36,1
671.5,14.43,36,1
676.23,15.13,36,1
681.17,15.69,36,1
696.58,16.33,36,1
714.28,16.23,36,1
735.63,16.36,36,1
764.18,16.18,36,1
765.71,15.45,36,1
767.47,15.15,36,1
771.1,15.19,36,1
773.97,15.43,36,1
788.24,16.35,36,1
811.96,16.64,36,1
836.53,16.87,36,1
860.53,16.83,36,1
883.98,16.42,36,1
905.36,15.86,36,1
917.08,16.24,36,1
922.66,16.15,36,1
926.11,16.93,36,1
941.77,17.23,36,1
943.56,17.04,36,1
946.09,17.25,36,1
955.75,17.3,36,1
957.88,17.7,36,1
962.2,17.23,36,1
968.05,17.14,36,1
971.61,17.55,36,1
975.07,16.84,36,1
978.94,16.88,36,1
981.16,16.98,36,1
984.94,17.6,36,1
1007.89,17.29,36,1
1032.93,16.95,36,1
1038.53,16.09,36,1
1042.11,16.34,36,1
1043.57,16.85,36,1
1050.35,17.09,36,1
1072.17,16.97,36,1
1086.85,16.62,36,1
1115.82,16.65,36,1
1137.44,15.4,36,1
1144.31,15.12,36,1
1149.87,15.22,36,1
1155.43,15.41,36,1
1165.38,15.92,36,1
1168.76,15.88,36,1
1175.47,16.35,36,1
1183.04,16.47,36,0
1192.99,16.61,36,0
1195.88,16.22,36,0
1206.98,16.19,36,0
1211.23,17.3,36,0
1252.28,17.15,36,0
1294.26,16.88,36,0
1311.54,17.1,36,0
1358.06,17.39,36,0
1384.48,17.65,36,0
1393.34,18.87,36,0
1399.29,18.86,36,0
1429.5,19.29,36,0
1434.13,19.4,36,0
1435.03,19.06,36,0
1440.65,19.18,36,0
1442.07,20.27,36,0
1445.5,20.32,36,0
1446.62,19.94,36,0
1449.12,20.11,36,0
1474.98,19.81,36,0
1504.29,19.37,36,0
1507.72,21.09,36,0
1510.5,22.47,36,0
1511.63,22.22,36,0
1512.81,22.56,36,0
1516.71,20.55,36,0
1519.95,20.5,36,0
1524.95,30.3,36,0
