Y,Z,1,Active_channel_mask
0.0,219.08,36,0
0.17,208.78,36,0
13.05,208.84,36,0
14.93,209.45,36,0
16.0,209.23,36,0
26.23,205.66,36,1
30.19,205.24,36,1
31.03,203.61,36,1
31.92,202.45,36,1
33.03,201.82,36,1
34.03,201.58,36,1
35.03,201.6,36,1
36.03,201.5,36,1
37.03,201.55,36,1
38.03,201.6,36,1
39.03,201.57,36,1
40.03,201.52,36,1
41.03,201.55,36,1
42.03,201.57,36,1
43.03,201.51,36,1
44.03,201.49,36,1
45.03,201.58,36,1
46.03,201.59,36,1
47.03,201.67,36,1
48.03,201.7,36,1
49.03,201.91,36,1
50.03,202.36,36,1
51.03,202.7,36,1
52.03,202.97,36,1
53.03,202.99,36,1
54.03,202.97,36,1
55.03,203.01,36,1
56.03,203.12,36,1
57.03,203.0,36,1
58.03,203.11,36,1
59.03,203.2,36,1
60.03,203.09,36,1
61.03,203.14,36,1
62.03,203.0,36,1
63.03,203.01,36,1
64.03,203.16,36,1
65.03,203.18,36,1
66.03,203.22,36,1
67.03,203.26,36,1
68.03,203.19,36,1
69.03,203.25,36,1
70.03,203.29,36,1
71.03,203.28,36,1
72.03,203.3,36,1
73.03,203.32,36,1
74.03,203.11,36,1
75.03,203.37,36,1
76.03,203.26,36,1
77.03,203.2,36,1
78.03,203.27,36,1
79.03,203.36,36,1
80.03,203.35,36,1
81.03,203.3,36,1
82.03,203.37,36,1
83.03,203.35,36,1
84.03,203.4,36,1
85.03,203.43,36,1
86.03,203.4,36,1
87.03,203.42,36,1
88.03,203.51,36,1
89.03,203.48,36,1
90.03,203.5,36,1
91.03,203.51,36,1
92.03,203.49,36,1
93.03,203.53,36,1
94.03,203.58,36,1
95.03,203.6,36,1
96.03,203.6,36,1
97.03,203.62,36,1
98.03,203.62,36,1
99.03,203.65,36,1
100.03,203.63,36,1
101.03,203.6,36,1
102.03,203.63,36,1
103.03,203.68,36,1
104.03,203.65,36,1
105.03,203.69,36,1
106.03,203.6,36,1
107.03,203.7,36,1
108.03,203.72,36,1
109.03,203.74,36,1
110.03,203.71,36,1
111.03,203.72,36,1
112.03,203.74,36,1
113.03,203.79,36,1
114.03,203.77,36,1
115.03,203.77,36,1
116.03,203.72,36,1
117.03,203.71,36,1
118.03,203.76,36,1
119.03,203.79,36,1
120.03,203.76,36,1
121.03,203.79,36,1
122.03,203.82,36,1
123.03,203.86,36,1
124.03,203.81,36,1
125.03,203.82,36,1
126.03,203.86,36,1
127.03,203.8,36,1
128.03,203.86,36,1
129.03,203.9,36,1
130.03,203.84,36,1
131.03,203.9,36,1
132.03,203.91,36,1
132.38,204.1,36,1
135.48,205.0,36,1
152.17,205.34,36,1
173.51,205.27,36,1
188.22,205.11,36,1
212.28,205.24,36,1
231.19,205.14,36,1
247.52,205.13,36,1
256.38,205.58,36,1
276.3,205.4,36,1
295.48,205.24,36,1
297.97,203.98,36,1
314.48,204.54,36,1
321.9,204.38,36,1
334.38,205.33,36,1
360.67,205.27,36,1
362.72,204.71,36,1
379.55,204.6,36,1
390.18,204.03,36,1
393.53,203.32,36,1
399.27,203.85,36,1
401.3,206.18,36,1
414.89,206.49,36,1
426.76,207.26,36,1
478.83,206.48,36,1
503.33,206.45,36,1
515.58,206.25,36,1
533.96,206.12,36,0
561.53,206.42,36,0
589.09,206.8,36,0
612.05,207.56,36,0
631.97,207.25,36,0
648.8,206.86,36,0
662.6,206.98,36,0
680.98,207.22,36,0
694.76,206.68,36,0
713.14,206.58,36,0
736.11,206.58,36,0
754.49,206.65,36,0
769.79,206.52,36,0
782.6,206.14,36,0
785.07,205.98,36,0
787.08,204.74,36,0
790.37,204.12,36,0
810.05,204.99,36,0
825.77,205.52,36,0
829.83,205.4,36,0
833.36,205.11,36,0
837.08,204.94,36,0
840.4,205.69,36,0
848.64,206.9,36,0
867.1,210.63,36,0
886.46,216.96,36,0
889.14,216.96,36,0
895.01,216.8,36,0
899.8,230.08,36,0
