"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"2018-01-01",44.2127045207889,220.272527676009,220.272527676009,224.894077530416,227.308500378975,236.689078737457,237.929360821756,234.339670329766,266.362530537663,266.362530537663,30,318.177177102784,320.020605782409,30,379.796399864121,30,30,410.857783178535,402.886584145421,405.447548516037,30,406.624624158325,402.722146415359,403.291337103386,30,30,646.551578987376,638.830834824204,626.683990034275,105.63636998326,1505.63636998326,1508.00638696553,30,1520.18765229306,30,1515.50491159988,1515.50491159988,30,30,1712.35746448735,30,1705.36651204988,1709.79098435,30,1727.95911519066,30,1725.80391013253,30,30,1737.84711927296,1735.16979766496,1738.94476225921,30,30,1744.55424603891,30,1818.22714785048,1818.22714785048,1818.22714785048,1818.22714785048,42.5215702265011,35.2410184862308,65.4364477259641,36.5824916124463,278.508413728248,882.435714301086,2.42134015856823,3.75953833179997,22.5900590615918,0.615171793620914,21.0955297096932,3.87663231108465,9.48002011109162,75.0108280963402,5.42528434107491
"2018-01-02",44.2263722571156,228.415383244775,228.415383244775,234.755904730011,237.026248915317,249.276414327604,250.734317045972,248.891199499364,277.42484782137,277.42484782137,30,335.661375824908,336.481071865715,30,401.64420914524,30,30,436.541822142359,437.064803349521,440.336726915745,30,443.175980994325,439.80115179638,441.568195759161,84.742864920879,69.3069500017471,719.306950001747,712.829429238652,702.209139321226,224.46558231686,1624.46558231686,1625.67346054231,30,1638.24372627774,30,1633.13368758408,1633.13368758408,30,30,1850.1193206143,30,1842.71122091051,1847.08674384726,30,1866.33067914411,30,1863.98073608225,30,30,1875.00555218081,1871.92483909674,1875.61115485276,30,30,1880.46021460785,30,1950.58138545349,1950.58138545349,1950.58138545349,1950.58138545349,42.3826751286993,29.1294448705081,61.2747421409279,31.3108958736583,303.107933703914,925.726503609612,2.46120547024556,3.73618590116917,24.019001534813,0.629288713495625,20.9830466806722,3.79864720722521,9.83877116118891,72.6078510400339,5.36938529125156
"2018-01-03",72.5604570747378,308.622482766375,308.622482766375,320.841846534808,325.133264140366,371.689116960501,374.728905453285,367.957587620827,420.965720049396,420.965720049396,30,522.143005058315,530.645322044803,30,614.803885919765,30,30,632.284232664493,601.778838757493,607.958083387503,30,604.432417360005,594.013678279494,572.582841427856,301.770868768912,261.44618259131,911.44618259131,898.442842050522,876.102724929218,614.59014287039,2014.59014287039,2013.90052446634,409.60785207925,2020.66271197962,349.78146446839,1999.78146446839,1999.78146446839,30,30,2272.48683476479,162.82195220321,2251.0065146061,2253.44628689418,30,2267.96082497195,67.9608249719499,2253.60170818708,283.60170818708,270.48180187468,2247.16943995785,2236.45524049549,2239.89282143529,30,30,2229.98850423978,82.8031281558501,2286.61526191457,2286.61526191457,2286.61526191457,2286.61526191457,70.6159942584562,59.019562661711,137.536699694907,59.8932389317571,409.07336461979,1146.73772559385,2.78103915621461,4.02175797972115,29.2109341203464,0.649134769339896,20.9152746461452,3.72229137086802,10.1277122440844,70.9823611096141,5.31651587001692
"2018-01-04",111.321273236308,410.084132878842,410.084132878842,435.516541631051,439.04860109287,530.405111674734,560.807846617878,551.461117055886,599.80158371135,599.80158371135,49.229379918452,737.139835449318,734.270083494025,107.241624528289,852.039389108394,126.214359373211,130.763294793655,875.009171876234,827.507018671561,829.077160117117,113.919329579388,813.919329579388,794.667539490504,754.99090251167,618.8106067761,552.63134589519,1202.63134589519,1181.35306591249,1148.54874046464,1040.18793338315,2440.18793338315,2429.05768513468,823.1917107968,2434.87313979916,761.91611421027,2411.91611421027,2411.91611421027,132.74876169206,132.74876169206,2776.81977563806,665.03515482894,2751.41421738782,2753.26954902886,524.9218180927,2768.67104856073,568.67104856073,2751.43098635465,781.43098635465,765.67225542833,2739.03455172111,2725.3543984493,2728.64941871501,317.99411613836,312.30061029799,2712.30061029799,558.63467072743,2761.80169593444,2761.80169593444,2761.80169593444,2761.80169593444,109.00633360397,61.8082958407693,174.020584540704,75.361039502427,556.460627255181,1302.71330810224,2.97101830400823,4.07205858813557,32.8911102670873,0.658390009300278,20.8983665793994,3.64987592114433,10.305695818389,70.1946059083637,5.26614672526963
"2018-01-05",127.263077790382,474.449498947129,474.449498947129,495.973274571191,499.376829912165,553.946396099221,558.724043893867,563.889819431957,617.344739602925,617.344739602925,85.662988174821,784.643581213243,785.935605543548,163.82429707435,927.953263996995,230.23358302575,231.581444455414,986.368630039754,967.128087884242,969.722191142468,262.491633567667,962.491633567667,949.324566792148,921.723053050297,881.14745976137,828.26668223666,1478.26668223666,1459.27272715284,1428.90265952968,1575.78604941952,2975.78604941952,2959.37242772695,1351.2989989035,2961.24362075278,1282.93582676422,2932.93582676422,2932.93582676422,653.49164145337,653.49164145337,3379.98087578654,1266.86897152344,3351.74490223351,3353.24700802644,1126.04484745062,3367.915111374,1167.915111374,3348.6572441219,1378.6572441219,1361.1149047374,3332.42021100706,3316.9697549495,3320.15193410038,907.69842087362,900.13583623619,3300.13583623619,1143.3788562996,3346.14637521473,3346.14637521473,3346.14637521473,3346.14637521473,124.051050254998,51.950901892517,170.050155031178,67.4727951585238,640.985104935642,1560.32218435763,3.13695736503412,4.09751088161243,34.1676905432053,0.663206176513634,20.9606699151921,3.57981450286126,10.3590736178349,70.4269450174796,5.21548549574141
"2018-01-06",122.415592242944,490.864044912582,490.864044912582,510.723892809995,513.859610168357,563.010102539654,565.264396006487,568.247933678126,608.878507875265,608.878507875265,58.17345479325,762.506927395617,765.132836254309,137.462557723108,903.655235176692,224.669383517178,226.035486085599,983.864005181794,994.484305608413,999.499040613929,303.36229751374,1003.36229751374,999.848560852389,1002.88131316616,978.54371868093,962.07297230222,1612.07297230222,1603.03071677274,1587.20915807527,2020.68615569809,3420.68615569809,3410.94634436564,1804.94005877273,3418.6746518526,1746.29107480476,3396.29107480476,3396.29107480476,1117.43205514625,1117.43205514625,3888.90009493147,1778.75707988645,3866.66271219319,3869.27392815649,1642.12749953019,3887.65114897489,1687.65114897489,3873.47578323766,1903.47578323766,1888.99974220123,3863.80241694073,3851.23972595395,3854.4159285303,1445.01075821725,1440.05529432615,3840.05529432615,1688.30349976995,3891.36834357559,3891.36834357559,3891.36834357559,3891.36834357559,118.706691228457,39.0338738865111,144.336664150423,55.9509670042604,635.308275530754,1843.72103839059,3.2575952083936,4.09152499989438,33.9551867879576,0.664369699020729,21.1474508210778,3.51209264817751,10.3033512588877,71.9010387285035,5.16629208018237
"2018-01-07",110.979787513354,483.713616828255,483.713616828255,503.157976810697,506.026473214147,553.83929367424,555.919486153867,560.360530719212,592.188980228504,592.188980228504,30,723.64860843422,726.647272608003,90.377542596871,852.529970608927,179.061006449894,180.44185066407,934.573671825107,959.900670047586,966.035520556717,276.225776336197,976.225776336197,978.852199317848,1005.24597746604,941.14965863347,955.65211716745,1605.65211716745,1605.91485493351,1604.51474794767,2272.39436693641,3672.39436693641,3674.04603616882,2072.11423251637,3691.9872731193,2031.54437314021,3681.54437314021,3681.54437314021,1403.74983484447,1403.74983484447,4181.4779533012,2076.40669198972,4169.66370253328,4174.1304690463,1946.652848478,4198.8707054696,1998.8707054696,4193.83280182442,2223.83280182442,2215.37933826182,4197.3665573133,4190.77159736812,4194.01874678507,1790.99337738138,1791.80315377864,4191.80315377864,2051.49955365485,4255.40260776466,4255.40260776466,4255.40260776466,4255.40260776466,107.094561686821,29.6627943147898,119.560551792803,46.4121739785426,579.049853456832,2072.85220165672,3.33685142327459,4.06160272028396,33.1456049815837,0.6629219477539,21.5460229938195,3.451239958754,10.1607021233347,74.7178897417579,5.13304377525422
"2018-01-08",123.660857200785,488.28932139463,488.28932139463,506.39551087105,509.535202755061,566.111640449737,567.689809984444,569.589181317919,601.420727657959,601.420727657959,30,726.879654082852,729.296203137384,91.6240317310341,844.464333957149,163.487546982261,165.086897149136,913.861125486087,936.501118769578,941.734777663036,251.18092376768,951.18092376768,954.254857286301,985.886089552589,861.77194511256,889.16771769903,1539.16771769903,1543.95671713514,1549.76759342809,2341.33306945867,3741.33306945867,3754.56205307227,2156.59456743161,3784.09752820718,2137.38585588377,3787.38585588377,3787.38585588377,1511.50640112722,1511.50640112722,4284.05965061464,2185.21107955208,4283.35103993376,4291.09684609244,2069.36228202414,4332.27684312912,2132.27684312912,4354.29441878879,2384.29441878879,2386.2706935282,4388.13069931141,4388.00664359867,4393.44397281481,2004.38431162371,2017.6983044257,4417.6983044257,2299.28402193773,4506.55020969296,4506.55020969296,4506.55020969296,4506.55020969296,119.670249894731,30.3826774293823,122.878213286082,44.2101105161598,513.719128009221,2191.47969277356,3.87990169240324,5.13446247742628,38.3189475517386,1.47760037545829,34.5167406404517,5.53082582913664,18.0574561253226,89.7838615937178,7.50806495122492
"2018-01-09",119.567419547056,475.244560091161,475.244560091161,492.124341312746,494.803254894592,548.927578749236,550.696975900762,555.106876422382,582.182551280295,582.182551280295,30,701.982030211958,704.499587395111,64.045215771923,813.806043613149,133.502564741284,134.913285269622,880.894629841468,904.433906602312,909.387988306119,219.102209479634,919.102209479634,922.716726643548,956.520509742867,771.72952227706,803.44276746061,1453.44276746061,1459.74089167693,1468.21369404774,2270.30973991353,3670.30973991353,3691.22069911851,2096.40936002591,3727.47464205623,2091.32855335842,3741.32855335842,3741.32855335842,1466.68681996898,1466.68681996898,4223.32532934696,2126.52705023365,4228.14486294415,4238.23791841102,2020.53617987231,4285.30507808714,2085.30507808714,4306.24370056617,2336.24370056617,2338.78690568606,4353.41696081923,4359.59630880807,4365.60996818102,1980.66965801579,2002.10556307855,4402.10556307855,2306.98298882674,4518.1246787417,4518.1246787417,4518.1246787417,4518.1246787417,115.284947227546,24.2179512920949,110.991209008396,40.2983612970687,451.477022387306,2198.58550181617,4.62010830534448,6.49866352074784,42.1810469271791,2.23306607584274,42.1783235484016,5.99731123841294,23.9573253523085,105.00104431779,10.6859064508887
"2018-01-10",110.148456423984,456.223646800127,456.223646800127,472.285997202877,474.821560039546,523.643913614669,525.519049355326,531.253995320653,554.978087418159,554.978087418159,30,664.201630569983,667.302275508955,30,769.423102386527,90.6549909859669,92.026054518576,835.959578236083,862.28692586471,867.280462288125,177.807580347335,877.807580347335,882.26413669279,918.224531806084,677.70203045229,710.63614646752,1360.63614646752,1367.48033230126,1377.04788722345,2087.47050594842,3487.47050594842,3514.35736960398,1921.67946758903,3555.31838819207,1926.02340339293,3576.02340339293,3576.02340339293,1302.64377989437,1302.64377989437,4041.24726359343,1946.93548518216,4051.31264217222,4063.49127289399,1847.68036176437,4116.22571492519,1916.22571492519,4141.76579342015,2171.76579342015,2177.2953787898,4205.15857356987,4215.02597416587,4221.37957443465,1841.14396275676,1870.62891907232,4270.62891907232,2200.47427358219,4415.8684197663,4415.8684197663,4415.8684197663,4415.8684197663,105.815186150273,20.0936478204612,97.6545303241111,36.5917796670565,395.22208123154,2104.28830233815,5.36291062374166,7.60988862914353,43.8393985316983,2.66928628193716,51.9794089460116,6.26907978572752,29.1516389989573,125.511677795014,14.5315316044955
