150
1	308	1	Active_channel_mask
0.0	122.76	36	0
6.74	112.74	36	0
8.1	112.78	36	0
10.79	112.61	36	0
19.67	110.88	36	0
36.07	107.31	36	0
49.14	104.57	36	0
70.36	103.79	36	0
75.63	100.8	36	0
87.73	99.45	36	0
101.81	98.12	36	0
102.59	98.31	36	0
104.37	96.62	36	0
106.93	96.72	36	0
108.35	97.82	36	0
111.61	97.66	36	0
114.48	96.87	36	0
156.78	96.94	36	0
191.69	96.87	36	0
224.32	97.03	36	0
253.57	97.29	36	0
275.31	97.24	36	0
291.15	97.5	36	0
302.62	97.67	36	0
311.99	96.27	36	0
323.92	96.7	36	0
361.17	96.94	36	1
363.3	96.19	36	1
371.55	96.08	36	1
375.19	96.75	36	1
402.92	96.95	36	1
436.49	96.59	36	1
469.65	96.69	36	1
472.61	96.43	36	1
497.2	96.48	36	1
512.07	96.79	36	1
513.28	96.35	36	1
514.28	96.15	36	1
515.28	96.05	36	1
516.28	96.08	36	1
517.28	96.08	36	1
518.28	96.05	36	1
519.28	96.08	36	1
520.28	96.05	36	1
521.28	96.04	36	1
522.28	96.07	36	1
523.28	96.11	36	1
524.28	96.16	36	1
525.28	96.11	36	1
526.28	96.17	36	1
527.28	96.17	36	1
528.28	96.11	36	1
529.28	96.15	36	1
530.28	96.19	36	1
531.28	96.12	36	1
532.28	96.16	36	1
533.28	96.1	36	1
534.28	96.14	36	1
535.28	96.18	36	1
536.28	96.12	36	1
537.28	96.07	36	1
538.28	96.1	36	1
539.28	96.04	36	1
540.28	96.07	36	1
541.28	96.02	36	1
542.28	96.06	36	1
543.28	96.09	36	1
544.28	96.03	36	1
545.28	96.06	36	1
546.28	96.0	36	1
547.28	96.04	36	1
548.28	96.08	36	1
549.28	96.02	36	1
550.28	96.06	36	1
551.28	96.09	36	1
552.28	96.03	36	1
553.28	96.12	36	1
554.28	96.32	36	1
555.28	96.51	36	1
556.28	96.81	36	1
556.63	96.89	36	1
566.25	96.85	36	1
574.88	97.11	36	1
582.23	96.88	36	1
586.63	96.37	36	1
