,D50_init,D50_meas
0,0.027396527123951703,0.0259
1,0.01509297564335292,0.0191
2,0.01509297564335292,0.0191
3,0.02198050443451461,0.0233
4,0.02198050443451461,0.0233
5,0.017909921702417023,0.0209
6,0.016718189973985647,0.0217
7,0.009077962764246328,0.0104
8,0.030016807091739522,0.0339
9,0.010490413237058833,0.0116
10,0.030877410094529913,0.055
11,0.018806306520595048,0.0301
12,0.016209593685492043,0.0176
13,0.018870907407869276,0.0207
14,0.004760818979508596,0.0048
15,0.018543580582682,0.0193
16,0.010790535155491127,0.0111
17,0.0023859830784291646,0.0024
18,0.003014594374309134,0.0024
19,0.0007075899802522576,0.0007
20,0.0010738185452201423,0.0011
21,0.002385527857740624,0.0024
22,0.002385527857740624,0.0024
23,0.0007942287661134738,0.0008
24,0.0007942287661134738,0.0008
25,0.002279303496740415,0.0024
26,0.0016168814135730306,0.0018
27,0.002826603178383303,0.0025
28,0.0005855613167045746,0.0006
29,0.0005855613166814399,0.0006
30,0.0006996165468896836,0.0007
31,0.0003083772749201202,0.0003
32,0.0004882830442482955,0.0005
33,0.0004403490970737146,0.0004
34,0.0004248367503042927,0.0004
35,0.0003281666317663601,0.0003
36,0.0004248367503042927,0.0004
37,0.0004248367503042927,0.0004
38,0.0004248367503042927,0.0004
39,0.0004248367503042927,0.0004
40,0.00038407123023242757,0.0003
41,0.0003083772749201202,0.0003
42,0.0003502258913778441,0.0003
43,0.00028897654228709086,0.0003
44,0.0383377265713114,0.039
45,0.027992515153998004,0.0271
46,0.009077962764246328,0.0104
47,0.016209593685492043,0.0176
48,0.004760818979508596,0.0048
49,0.010790535155491127,0.0111
50,0.003014594374309134,0.0024
51,0.02927138766443043,0.0306
52,0.002385527857740624,0.0024
53,0.027799683794321274,0.0274
54,0.0007942287661134738,0.0008
55,0.006534891420458196,0.0086
56,0.0005855613167045746,0.0006
57,0.00016771598125029825,0.000213
58,0.00014932385267504795,0.00015663
59,0.0004403490970737146,0.0004
60,0.000125,6.145e-05
61,0.0004248367503042927,0.0004
62,0.0004248367503042927,0.0004
63,0.0003083772749201202,0.0003
