Y,Z,1,Active_channel_mask
0.0,167.63,36,0
19.12,157.44,36,0
27.12,154.63,36,0
41.55,150.24,36,0
60.59,144.33,36,0
89.44,132.69,36,0
110.79,126.63,36,0
132.72,115.24,36,0
176.81,114.34,36,0
179.04,113.91,36,0
182.73,114.92,36,0
183.23,113.92,36,0
196.47,114.95,36,0
231.72,114.85,36,0
270.74,114.66,36,0
315.34,114.97,36,0
363.84,115.1,36,0
415.83,114.81,36,0
440.53,115.15,36,0
477.05,114.49,36,0
504.78,115.18,36,0
513.48,118.03,36,0
517.36,115.15,36,0
542.48,115.3,36,0
591.15,115.0,36,0
645.76,114.85,36,0
685.76,114.87,36,0
696.82,115.0,36,0
734.49,115.59,36,0
780.06,115.38,36,0
829.72,115.44,36,0
885.1,115.58,36,0
927.16,115.29,36,0
930.2,114.88,36,0
956.47,114.4,36,0
998.9,114.56,36,0
1044.07,114.88,36,0
1126.13,114.43,36,0
1162.9,114.21,36,0
1196.94,114.45,36,0
1211.56,114.71,36,0
1214.32,115.31,36,0
1219.5,114.46,36,0
1247.35,114.57,36,0
1254.97,113.96,36,0
1257.95,112.48,36,0
1270.97,111.99,36,0
1271.65,113.96,36,0
1289.54,114.44,36,0
1306.77,114.15,36,0
1325.42,114.27,36,0
1329.35,113.42,36,0
1332.2,115.03,36,0
1341.69,115.22,36,0
1382.24,114.83,36,0
1413.81,114.93,36,0
1440.92,115.15,36,0
1451.92,115.54,36,0
1494.84,115.5,36,0
1530.58,115.33,36,0
1532.38,115.32,36,0
1565.47,115.53,36,0
1598.15,115.37,36,0
1631.81,114.65,36,0
1654.67,115.59,36,0
1681.9,115.57,36,0
1722.28,115.13,36,0
1734.94,116.14,36,0
1750.56,113.39,36,0
1752.25,115.43,36,0
1770.47,115.26,36,0
1796.95,115.25,36,0
1822.12,115.02,36,0
1852.25,115.5,36,0
1872.04,115.89,36,0
1899.39,115.39,36,1
1918.4,115.14,36,1
1941.85,114.6,36,1
1957.31,115.62,36,1
1979.76,115.67,36,1
2001.21,115.96,36,1
2027.01,115.62,36,1
2033.88,115.09,36,1
2047.3,113.16,36,1
2074.88,114.5,36,1
2099.06,114.35,36,1
2103.08,114.82,36,1
2124.64,115.41,36,1
2138.85,115.37,36,1
