Y,Z,1,Active_channel_mask
0.0,204.59,36,0
6.01,194.76,36,0
6.35,194.75,36,0
7.6,194.86,36,0
9.88,196.03,36,0
10.39,196.03,36,0
10.82,196.03,36,0
13.34,193.49,36,0
30.17,193.42,36,0
53.16,192.91,36,0
80.12,193.04,36,0
101.57,193.12,36,0
118.39,193.64,36,0
132.08,193.63,36,0
145.62,193.68,36,0
159.32,193.58,36,0
163.01,192.87,36,0
180.04,193.06,36,0
183.02,191.94,36,0
193.55,193.06,36,1
212.3,193.26,36,1
231.25,193.11,36,1
237.55,192.81,36,1
252.9,192.76,36,1
272.22,192.41,36,1
283.24,192.26,36,1
297.28,193.17,36,1
298.56,193.07,36,1
301.08,191.74,36,1
307.1,192.81,36,1
326.37,193.09,36,1
334.43,192.71,36,1
348.7,193.53,36,1
352.79,192.77,36,1
367.09,192.25,36,1
371.33,192.04,36,1
376.11,192.93,36,1
388.69,193.44,36,1
403.07,193.43,36,1
415.41,192.9,36,1
421.13,191.94,36,1
431.66,191.72,36,1
447.42,191.67,36,1
452.14,192.02,36,1
457.64,191.81,36,1
460.83,192.48,36,1
482.77,192.61,36,1
504.69,192.27,36,1
509.0,191.95,36,1
510.0,191.83,36,1
511.0,191.74,36,1
512.0,191.72,36,1
513.0,191.72,36,1
514.0,191.61,36,1
515.0,191.57,36,1
516.0,191.47,36,1
517.0,191.55,36,1
518.0,191.64,36,1
519.0,191.66,36,1
520.0,191.69,36,1
521.0,191.72,36,1
522.0,191.76,36,1
523.0,191.86,36,1
523.66,192.03,36,1
525.68,192.84,36,1
549.15,192.36,36,1
553.24,191.46,36,1
560.84,191.57,36,1
565.43,192.01,36,1
592.03,192.29,36,1
614.19,192.44,36,1
617.89,192.01,36,1
634.28,192.6,36,1
648.14,192.81,36,1
672.93,191.91,36,1
676.18,192.72,36,1
712.23,192.77,36,1
747.38,192.35,36,1
763.35,191.63,36,1
787.98,191.38,36,1
806.39,191.93,36,1
826.52,192.08,36,0
859.55,191.91,36,0
876.79,191.58,36,0
880.58,191.06,36,0
881.58,190.99,36,0
882.58,190.91,36,0
883.58,190.85,36,0
884.58,190.83,36,0
885.58,190.68,36,0
886.58,190.55,36,0
887.58,190.46,36,0
888.58,190.39,36,0
889.58,190.4,36,0
890.58,190.35,36,0
891.58,190.3,36,0
892.58,190.28,36,0
893.58,190.27,36,0
894.58,190.25,36,0
895.58,190.21,36,0
896.58,190.18,36,0
897.58,190.15,36,0
898.58,190.13,36,0
899.58,190.11,36,0
900.58,190.12,36,0
901.58,190.12,36,0
902.58,190.19,36,0
903.58,190.19,36,0
904.58,190.18,36,0
905.58,190.15,36,0
906.58,190.22,36,0
907.58,190.25,36,0
908.58,190.29,36,0
909.58,190.32,36,0
910.58,190.35,36,0
911.58,190.36,36,0
912.58,190.39,36,0
913.58,190.41,36,0
914.58,190.42,36,0
915.58,190.46,36,0
916.58,190.47,36,0
917.58,190.47,36,0
918.58,190.59,36,0
919.58,190.61,36,0
920.58,190.73,36,0
921.58,190.8,36,0
922.58,191.05,36,0
923.02,191.16,36,0
924.98,192.99,36,0
930.64,193.71,36,0
946.09,193.51,36,0
972.7,193.69,36,0
998.98,193.77,36,0
1019.82,193.32,36,0
1039.54,193.09,36,0
1056.41,192.79,36,0
1060.49,194.11,36,0
1090.69,194.21,36,0
1117.85,193.62,36,0
1119.78,194.26,36,0
1122.66,194.27,36,0
1125.33,196.07,36,0
1126.06,196.44,36,0
1127.5,196.13,36,0
1131.33,194.46,36,0
1136.32,204.1,36,0
