Y,Z,1,Active_channel_mask
1747.14,128.88,36,1
1761.93,129.11,36,1
1770.68,128.51,36,1
1787.91,128.77,36,1
1794.44,129.2,36,1
1811.78,129.33,36,1
1825.56,129.39,36,1
1841,129.32,36,1
1853.81,129.59,36,1
1862.3,129.47,36,1
1863.44,128.55,36,1
1864.44,128.33,36,1
1865.44,127.96,36,1
1866.44,127.75,36,1
1867.44,127.59,36,1
1868.44,127.63,36,1
1869.44,127.74,36,1
1870.44,127.42,36,1
1871.44,127.63,36,1
1872.44,127.57,36,1
1873.44,127.5,36,1
1874.44,127.66,36,1
1875.44,127.7,36,1
1876.44,127.63,36,1
1877.44,127.51,36,1
1878.44,127.64,36,1
1879.44,127.53,36,1
1880.44,127.6,36,1
1881.44,127.6,36,1
1882.44,127.62,36,1
1883.44,127.89,36,1
1884.44,127.76,36,1
1885.44,127.76,36,1
1886.44,127.63,36,1
1887.44,127.8,36,1
1888.44,127.74,36,1
1889.44,127.7,36,1
1890.44,127.84,36,1
1891.44,127.68,36,1
1892.44,127.53,36,1
1893.44,127.67,36,1
1894.44,127.89,36,1
1895.44,127.63,36,1
1896.44,127.57,36,1
1897.44,127.61,36,1
1898.44,127.7,36,1
1899.44,127.75,36,1
1900.44,127.84,36,1
1901.44,127.69,36,1
1902.44,127.6,36,1
1903.44,127.58,36,1
1904.44,127.67,36,1
1905.44,127.6,36,1
1906.44,127.78,36,1
1907.44,127.4,36,1
1908.44,127.56,36,1
1909.44,127.77,36,1
1910.44,127.95,36,1
1911.44,128.47,36,1
1912.44,128.8,36,1
1913.17,128.96,36,1
1917.57,128.96,36,1
1919.69,129.22,36,1
1924.37,129.32,36,1
1929.37,128.93,36,1
1935.43,129.34,36,1
1940.57,129.46,36,1
1947.38,129.1,36,1
1949.19,128.95,36,1
1956.9,129.12,36,1
1959.35,129.11,36,1
1961.32,128.65,36,1
1965.25,128.96,36,1
1972.01,129.63,36,1
1978.78,129.64,36,1
1989.16,129.63,36,1
1999.31,129.65,36,1
2006.89,130.25,36,1
2016.65,130.12,36,1
2024.41,129.64,36,1
2031.77,130.26,36,1
2038.54,130.02,36,1
2048.7,130.01,36,1
2059.87,129.86,36,1
2074.37,129.26,36,1
2089.46,129.12,36,1
2117.41,129.66,36,1
2137.12,129.65,36,1
2152.23,129.66,36,1
2167.8,129.25,36,1
2178.86,129.56,36,1
2205.42,129,36,1
2226.7,129.31,36,1
2227.7,129.12,36,1
2228.7,129.03,36,1
2229.7,129.2,36,1
2230.7,129.13,36,1
2231.7,129,36,1
2232.7,128.89,36,1
2233.7,129,36,1
2234.7,129.16,36,1
2235.7,129.06,36,1
2236.7,128.97,36,1
2237.7,128.79,36,1
2238.7,128.86,36,1
2239.7,128.93,36,1
2240.7,128.91,36,1
2241.7,128.73,36,1
2242.7,128.61,36,1
2243.7,128.7,36,1
2244.7,128.97,36,1
2245.7,128.72,36,1
2246.7,128.79,36,1
2247.7,128.96,36,1
2248.7,128.9,36,1
2249.7,128.7,36,1
2250.7,128.92,36,1
2251.7,128.6,36,1
2252.7,128.64,36,1
2253.7,128.9,36,1
2254.7,128.71,36,1
2255.7,128.67,36,1
2256.7,128.75,36,1
2257.7,128.57,36,1
2258.7,128.86,36,1
2259.7,128.72,36,1
2260.7,128.69,36,1
2261.7,128.75,36,1
2262.7,128.6,36,1
2263.7,128.62,36,1
2264.7,128.81,36,1
2265.7,128.58,36,1
2266.7,128.8,36,1
2267.7,128.82,36,1
2268.7,128.71,36,1
2269.7,128.82,36,1
2270.7,128.76,36,1
2271.7,128.81,36,1
2272.7,128.65,36,1
2273.7,128.75,36,1
2274.7,128.83,36,1
2275.7,128.71,36,1
2276.7,128.57,36,1
2277.7,128.43,36,1
2278.7,128.36,36,1
2279.7,127.53,36,1
2280.7,127.47,36,1
2281.7,127.36,36,1
2282.7,127.26,36,1
2283.7,127.11,36,1
2284.7,127.16,36,1
2285.7,127.1,36,1
2286.7,127.2,36,1
2287.7,127.1,36,1
2288.7,127.21,36,1
2289.7,127.17,36,1
2290.7,127.22,36,1
2291.7,127.27,36,1
2292.7,127.25,36,1
2293.7,127.19,36,1
2294.7,127.12,36,1
2295.7,127,36,1
2296.7,127.1,36,1
2297.7,127.05,36,1
2298.7,127.02,36,1
2299.7,127.21,36,1
2300.7,127.11,36,1
2301.7,127.12,36,1
2302.7,127.19,36,1
2303.7,127.01,36,1
2304.7,126.9,36,1
2305.7,127.06,36,1
2306.7,127.17,36,1
2307.7,127.06,36,1
2308.7,127.12,36,1
2309.7,127.13,36,1
2310.7,127.06,36,1
2311.7,127.17,36,1
2312.7,127.11,36,1
2313.7,127.11,36,1
2314.7,127,36,1
2315.7,127.08,36,1
2316.7,127.06,36,1
2317.7,127.16,36,1
2318.7,127.23,36,1
2319.7,127.52,36,1
2320.7,128.01,36,1
2321.7,128.34,36,1
2322.7,128.98,36,1
2323.7,129.32,36,1
2324.28,129.99,36,1
2341.35,130.26,36,1
