2.5118e-08,0.00043203,1.4928,2.9272,1.5645,26.083,26.083
2.1734e-08,0.00037383,1.321,2.6766,1.4434,23.655,23.655
1.9815e-08,0.00034083,1.2204,2.5266,1.3704,22.224,22.224
1.8284e-08,0.00031449,1.1382,2.4021,1.3097,21.049,21.049
1.6804e-08,0.00028903,1.057,2.2772,1.2485,19.883,19.883
1.6052e-08,0.0002761,1.0151,2.212,1.2163,19.278,19.278
1.4472e-08,0.00024891,0.92541,2.0701,1.1463,17.975,17.975
1.3664e-08,0.00023502,0.87867,1.995,1.1091,17.291,17.291
1.2085e-08,0.00020786,0.78535,1.8423,1.033,15.9,15.9
1.1516e-08,0.00019807,0.75109,1.7853,1.0044,14.909,14.909
1.0933e-08,0.00018805,0.71562,1.7255,0.97439,13.911,13.911
1.0232e-08,0.000176,0.67244,1.6519,0.93728,12.735,12.735
9.0846e-09,0.00015626,0.60038,1.5264,0.87374,10.866,10.866
8.4559e-09,0.00014544,0.56018,1.4548,0.8373,9.8746,9.8746
8.079e-09,0.00013896,0.53582,1.4109,0.81483,9.2918,9.2918
7.3132e-09,0.00012579,0.4857,1.3189,0.76761,8.1358,8.1358
6.7427e-09,0.00011597,0.44767,1.2478,0.73089,7.3003,7.3003
6.3845e-09,0.00010981,0.42389,1.2019,0.7071,6.7877,6.7877
5.6515e-09,9.7206e-05,0.37522,1.1045,0.65638,5.7685,5.7685
5.5185e-09,9.4919e-05,0.36639,1.0864,0.64686,5.5882,5.5882
4.9628e-09,8.536e-05,0.3295,1.0085,0.60587,4.8504,4.8504
4.5607e-09,7.8445e-05,0.3028,0.94994,0.5749,4.3334,4.3334
4.4648e-09,7.6795e-05,0.29643,0.93569,0.56733,4.2122,4.2122
4.3152e-09,7.4222e-05,0.2865,0.91323,0.55538,4.025,4.025
4.427e-09,7.6145e-05,0.29392,0.93005,0.56433,4.1647,4.1647
3.8759e-09,6.6665e-05,0.25733,0.84549,0.51915,3.4879,3.4879
3.8425e-09,6.6092e-05,0.25512,0.84023,0.51632,3.4479,3.4479
3.7278e-09,6.4118e-05,0.2475,0.82201,0.50652,3.3112,3.3112
3.4767e-09,5.98e-05,0.23083,0.78139,0.4846,3.0172,3.0172
3.6476e-09,6.2739e-05,0.24218,0.80915,0.49959,3.2165,3.2165
3.5381e-09,6.0855e-05,0.2349,0.79141,0.49002,3.0883,3.0883
3.4015e-09,5.8507e-05,0.22584,0.76902,0.4779,2.9304,2.9304
3.3571e-09,5.7743e-05,0.22289,0.76166,0.47391,2.8795,2.8795
3.3277e-09,5.7238e-05,0.22094,0.75677,0.47126,2.8459,2.8459
3.1844e-09,5.4772e-05,0.21142,0.7327,0.45817,2.6836,2.6836
3.1563e-09,5.4289e-05,0.20956,0.72794,0.45557,2.6521,2.6521
3.1424e-09,5.4049e-05,0.20863,0.72557,0.45428,2.6364,2.6364
2.7405e-09,4.7137e-05,0.18195,0.65552,0.4159,2.1965,2.1965
2.6898e-09,4.6264e-05,0.17858,0.64642,0.41088,2.1424,2.1424
2.6153e-09,4.4984e-05,0.17364,0.63296,0.40345,2.0637,2.0637
2.4255e-09,4.1719e-05,0.16104,0.59802,0.38408,1.8664,1.8664
2.3353e-09,4.0168e-05,0.15505,0.58108,0.37464,1.7744,1.7744
2.2162e-09,3.8119e-05,0.14714,0.55835,0.36194,1.6547,1.6547
2.133e-09,3.6688e-05,0.14162,0.54222,0.35289,1.5723,1.5723
2.0427e-09,3.5134e-05,0.13562,0.52448,0.3429,1.4841,1.4841
2.0624e-09,3.5474e-05,0.13693,0.52839,0.34511,1.5033,1.5033
1.9183e-09,3.2995e-05,0.12736,0.4996,0.32884,1.3648,1.3648
1.9464e-09,3.3478e-05,0.12923,0.50527,0.33205,1.3915,1.3915
1.8364e-09,3.1586e-05,0.12192,0.48293,0.31937,1.2876,1.2876
1.8364e-09,3.1586e-05,0.12192,0.48293,0.31937,1.2876,1.2876
1.7423e-09,2.9968e-05,0.11568,0.46347,0.30827,1.2004,1.2004
1.8814e-09,3.236e-05,0.12491,0.49212,0.32459,1.3299,1.3299
1.7257e-09,2.9683e-05,0.11458,0.46,0.30629,1.1852,1.1852
1.7846e-09,3.0694e-05,0.11848,0.47225,0.31328,1.2394,1.2394
1.734e-09,2.9825e-05,0.11513,0.46173,0.30728,1.1928,1.1928
1.8451e-09,3.1736e-05,0.1225,0.48472,0.32038,1.2958,1.2958
1.8451e-09,3.1736e-05,0.1225,0.48472,0.32038,1.2958,1.2958
1.7507e-09,3.0112e-05,0.11624,0.46522,0.30927,1.2081,1.2081
1.7011e-09,2.9259e-05,0.11294,0.45483,0.30333,1.1626,1.1626
1.6929e-09,2.9118e-05,0.1124,0.45311,0.30234,1.1552,1.1552
1.7423e-09,2.9968e-05,0.11568,0.46347,0.30827,1.2004,1.2004
1.6447e-09,2.8289e-05,0.1092,0.4429,0.29649,1.1115,1.1115
1.5595e-09,2.6824e-05,0.10354,0.42464,0.28597,1.0354,1.0354
1.5e-09,2.5801e-05,0.099592,0.4117,0.27849,0.98306,0.98306
1.537e-09,2.6436e-05,0.10205,0.41976,0.28315,1.0155,1.0155
1.4711e-09,2.5303e-05,0.09767,0.40534,0.2748,0.95782,0.95782
1.3668e-09,2.351e-05,0.090749,0.38211,0.26128,0.86837,0.86837
1.3668e-09,2.351e-05,0.090749,0.38211,0.26128,0.86837,0.86837
1.327e-09,2.2824e-05,0.088104,0.37308,0.256,0.83477,0.83477
1.3075e-09,2.2489e-05,0.086808,0.36863,0.2534,0.81843,0.81843
