Var1,Var2
-2.5,0
-2.3,1.22874594571933
-2.1,2.05897081628952
-1.9,3.59862744474099
-1.7,5.90654464391234
-1.5,9.27180171862021
-1.3,14.1863079392866
-1.1,21.2461371268599
-0.9,30.9918713476162
-0.7,43.8837137314277
-0.5,58.8660132651548
-0.3,75.7814474447452
-0.0999999999999996,95.6055256027607
0.1,117.498126755509
0.3,141.391794451819
0.5,166.550281093945
0.7,192.888655276119
0.9,219.212420265553
1.1,245.241496619274
1.3,269.990458095334
1.5,291.37666428949
1.7,308.890661720347
1.9,322.4914056795
2.1,331.781893128008
2.3,337.707387750995
2.5,344.377118570245
2.7,346.678764552763
2.9,360.184775269665
3.1,391.463386335849
3.3,391.463386335849
3.5,438.925460628436
3.7,438.925460628436
3.9,438.925460628436
