Var1,Var2
0,0
0.1,0.449548953494222
0.2,0.779473332208473
0.3,1.56400126654813
0.4,2.60094579487408
0.5,4.33298753364617
0.6,7.47251858497335
0.7,13.2324083271407
0.8,20.2668238971104
0.9,28.9584194390723
1,36.5864346087078
1.1,44.4671085613761
1.2,53.6256067175869
1.3,64.7411506502398
1.4,76.4671058723472
1.5,89.9545093876759
1.6,104.579231449109
1.7,120.115745346448
1.8,137.512403793023
1.9,157.205231832852
2,179.022616458444
2.1,202.061929551889
2.2,226.463613364512
2.3,252.627154579574
2.4,279.76699690146
2.5,308.06677991708
2.6,337.445200918063
2.7,367.29048460179
2.8,396.836125281633
2.9,425.243687978522
3,453.122143147153
3.1,479.670828111846
3.2,506.007181250894
3.3,529.873346259016
3.4,550.368114187943
3.5,571.077982945653
3.6,589.638836388751
3.7,606.587228845803
3.8,641.051348845558
3.9,655.262426480451
4,668.986463315311
4.1,682.056440047316
4.2,692.219860811688
4.3,697.388120010199
4.4,727.947587118676
4.5,727.947587118676
4.6,814.552650963825
4.7,815.804267781202
4.8,815.804267781202
4.9,815.804267781202
5,815.804267781202
5.1,815.804267781202
5.2,815.804267781202
5.3,815.804267781202
5.4,815.804267781202
5.5,815.804267781202
5.6,815.804267781202
5.7,815.804267781202
5.8,815.804267781202
5.9,815.804267781202
6,815.804267781202
6.1,815.804267781202
6.2,815.804267781202
6.3,815.804267781202
6.4,815.804267781202
6.5,815.804267781202
6.6,815.804267781202
6.7,815.804267781202
6.8,815.804267781202
6.9,815.804267781202
7,815.804267781202
