9.2042,82.838,92.042,92.042,92.042,60.342,60.342,60.342,60.342,60.342,60.342,60.342,60.342,60.342
9.0722,81.65,90.722,90.722,90.722,59.022,59.022,59.022,59.022,59.022,59.022,59.022,59.022,59.022
9.2656,83.39,92.656,92.656,92.656,60.956,60.956,60.956,60.956,60.956,60.956,60.956,60.956,60.956
9.0484,81.436,90.484,90.484,90.484,58.784,58.784,58.784,58.784,58.784,58.784,58.784,58.784,58.784
9.1321,82.189,91.321,91.321,91.321,59.621,59.621,59.621,59.621,59.621,59.621,59.621,59.621,59.621
9.0603,81.543,90.603,90.603,90.603,58.903,58.903,58.903,58.903,58.903,58.903,58.903,58.903,58.903
9.2162,82.946,92.162,92.162,92.162,60.462,60.462,60.462,60.462,60.462,60.462,60.462,60.462,60.462
9.2162,82.946,92.162,92.162,92.162,60.462,60.462,60.462,60.462,60.462,60.462,60.462,60.462,60.462
9.0842,81.758,90.842,90.842,90.842,59.142,59.142,59.142,59.142,59.142,59.142,59.142,59.142,59.142
9.0127,81.114,90.127,90.127,90.127,58.427,58.427,58.427,58.427,58.427,58.427,58.427,58.427,58.427
9.0008,81.007,90.008,90.008,90.008,58.308,58.308,58.308,58.308,58.308,58.308,58.308,58.308,58.308
9.0722,81.65,90.722,90.722,90.722,59.022,59.022,59.022,59.022,59.022,59.022,59.022,59.022,59.022
8.9296,80.366,89.296,89.296,89.296,57.596,57.596,57.596,57.596,57.596,57.596,57.596,57.596,57.596
8.8001,79.201,88.001,88.001,88.001,56.301,56.301,56.301,56.301,56.301,56.301,56.301,56.301,56.301
8.7066,78.359,87.066,87.066,87.066,55.366,55.366,55.366,55.366,55.366,55.366,55.366,55.366,55.366
8.765,78.885,87.65,87.65,87.65,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95
8.6601,77.941,86.601,86.601,86.601,54.901,54.901,54.901,54.901,54.901,54.901,54.901,54.901,54.901
8.487,76.383,84.87,84.87,84.87,53.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17
8.487,76.383,84.87,84.87,84.87,53.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17,53.17
8.4183,75.765,84.183,84.183,84.183,52.483,52.483,52.483,52.483,52.483,52.483,52.483,52.483,52.483
8.3841,75.457,83.841,83.841,83.841,52.141,52.141,52.141,52.141,52.141,52.141,52.141,52.141,52.141
8.2594,74.335,82.594,82.594,82.594,50.894,50.894,50.894,50.894,50.894,50.894,50.894,50.894,50.894
8.282,74.538,82.82,82.82,82.82,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12
8.1806,73.625,81.806,81.806,81.806,50.106,50.106,50.106,50.106,50.106,50.106,50.106,50.106,50.106
8.2481,74.233,82.481,82.481,82.481,50.781,50.781,50.781,50.781,50.781,50.781,50.781,50.781,50.781
8.2256,74.03,82.256,82.256,82.256,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556
8.2143,73.929,82.143,82.143,82.143,50.443,50.443,50.443,50.443,50.443,50.443,50.443,50.443,50.443
8.2369,74.132,82.369,82.369,82.369,50.669,50.669,50.669,50.669,50.669,50.669,50.669,50.669,50.669
8.1143,73.029,81.143,81.143,81.143,49.443,49.443,49.443,49.443,49.443,49.443,49.443,49.443,49.443
8.3841,75.457,83.841,83.841,83.841,52.141,52.141,52.141,52.141,52.141,52.141,52.141,52.141,52.141
8.2256,74.03,82.256,82.256,82.256,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556
8.3046,74.741,83.046,83.046,83.046,51.346,51.346,51.346,51.346,51.346,51.346,51.346,51.346,51.346
8.35,75.15,83.5,83.5,83.5,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8
8.3273,74.946,83.273,83.273,83.273,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573
8.3273,74.946,83.273,83.273,83.273,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573
8.3273,74.946,83.273,83.273,83.273,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573,51.573
8.2933,74.64,82.933,82.933,82.933,51.233,51.233,51.233,51.233,51.233,51.233,51.233,51.233,51.233
8.282,74.538,82.82,82.82,82.82,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12,51.12
8.316,74.844,83.16,83.16,83.16,51.46,51.46,51.46,51.46,51.46,51.46,51.46,51.46,51.46
8.2256,74.03,82.256,82.256,82.256,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556,50.556
8.1694,73.525,81.694,81.694,81.694,49.994,49.994,49.994,49.994,49.994,49.994,49.994,49.994,49.994
8.005,72.045,80.05,80.05,80.05,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35
7.8643,70.779,78.643,78.643,78.643,46.943,46.943,46.943,46.943,46.943,46.943,46.943,46.943,46.943
