Var1,Var2
1,22.6
2,25.7
3,29.5
4,34.1
5,38.6
6,45
7,51.2
8,58
9,65.8
10,75.2
11,86.1
12,99.8
13,119.9
14,162.8
15,218.8
16,270.5
17,322.4
18,361
19,422.6
20,546.9
21,794
22,1001.5
23,1257.4
