Var1,Var2
-2.5,0
-2.3,0.0953476963236493
-2.1,0.210561135433201
-1.9,0.579016179110485
-1.7,1.42361154995845
-1.5,3.56594590604287
-1.3,7.61233986895389
-1.1,13.6224099860503
-0.9,22.9369158659101
-0.7,36.5480795304599
-0.5,52.1706197743315
-0.3,69.5629855276584
-0.0999999999999996,89.4426062681851
0.1,110.705627524723
0.3,129.332109610502
0.5,143.861463962128
0.7,154.94926278146
0.9,157.085519072804
1.1,160.488807889016
1.3,161.72458691341
1.5,161.72458691341
1.7,161.72458691341
1.9,178.717870462221
2.1,178.717870462221
2.3,178.717870462221
2.5,178.717870462221
2.7,178.717870462221
2.9,178.717870462221
3.1,178.717870462221
3.3,178.717870462221
3.5,178.717870462221
3.7,178.717870462221
3.9,178.717870462221
