Var1,Var2
0,0
0.1,0.422554217026792
0.2,0.941173668002694
0.3,1.31832458047632
0.4,1.83713394707804
0.5,2.49791423951774
0.6,3.31803646297557
0.7,4.05534832813001
0.8,4.88235153647398
0.9,6.13167395245616
1,7.5143980193836
1.1,8.84515634535623
1.2,10.4898586079844
1.3,12.5339308188745
1.4,14.9535514592002
1.5,17.6249145877678
1.6,20.6145907507041
1.7,23.9667211999988
1.8,27.5537785320845
1.9,31.5646488652128
2,36.3365985138492
2.1,41.7869242503489
2.2,47.9667494202782
2.3,54.8226456439503
2.4,61.2735595205906
2.5,67.7477340897945
2.6,74.5251792215432
2.7,81.1077154490167
2.8,87.4658207905157
2.9,93.9300141321837
3,99.9777592622568
3.1,105.263136673949
3.2,110.779935626817
3.3,116.569969662843
3.4,122.539251189738
3.5,128.466432014199
3.6,134.508744522605
3.7,141.124357882231
3.8,148.162540258413
3.9,155.185264479264
4,162.32796476413
4.1,169.316583452726
4.2,176.127787160481
4.3,182.465845953297
4.4,188.029399715675
4.5,193.000852489493
4.6,197.747986641479
4.7,202.142333178913
4.8,206.033458389937
4.9,209.068748085926
5,211.710477669222
5.1,214.372713866277
5.2,216.706880407434
5.3,218.356285101391
5.4,219.775469767382
5.5,226.203388463579
5.6,226.203388463579
5.7,226.203388463579
5.8,237.602138811397
5.9,237.602138811397
6,237.602138811397
6.1,237.602138811397
6.2,237.602138811397
6.3,237.602138811397
6.4,244.907497527154
6.5,244.907497527154
6.6,244.907497527154
6.7,244.907497527154
6.8,244.907497527154
6.9,244.907497527154
7,244.907497527154
