Var1,Var2
0,0
0.1,0.358637978758804
0.2,0.585056264583431
0.3,1.13173098391778
0.4,1.5133329142725
0.5,2.21436832309925
0.6,3.07395707906395
0.7,4.17944286439626
0.8,5.68369096626677
0.9,7.68295715993427
1,10.1667604865585
1.1,13.2621373587846
1.2,17.0306106600271
1.3,21.6654563515747
1.4,27.1156937444048
1.5,33.0333018483753
1.6,39.9759232914803
1.7,48.1317408720981
1.8,56.6571361940504
1.9,66.7391311607205
2,78.239471574938
2.1,90.0412108442756
2.2,102.09731136662
2.3,114.998767666868
2.4,128.331697807785
2.5,142.597460756102
2.6,158.428630740757
2.7,175.416471174929
2.8,193.42469723986
2.9,212.100154920554
3,231.812446767285
3.1,252.677005854408
3.2,273.836190630846
3.3,295.860961108414
3.4,318.205017380457
3.5,341.113612993481
3.6,363.277625536833
3.7,384.096117708579
3.8,403.066651915045
3.9,420.380164463216
4,436.427122819085
4.1,450.803349847393
4.2,463.215987421793
4.3,473.880385704816
4.4,473.880385704816
4.5,473.880385704816
4.6,473.880385704816
4.7,473.880385704816
4.8,473.880385704816
4.9,473.880385704816
5,525.910250779338
5.1,526.749610207696
5.2,527.23939306848
5.3,527.648916409526
5.4,527.648916409526
5.5,527.648916409526
5.6,527.648916409526
5.7,527.648916409526
5.8,527.648916409526
5.9,527.648916409526
6,527.648916409526
6.1,527.648916409526
6.2,527.648916409526
6.3,527.648916409526
6.4,527.648916409526
6.5,527.648916409526
6.6,527.648916409526
6.7,527.648916409526
6.8,527.648916409526
6.9,527.648916409526
7,527.648916409526
